# IPTV直播源列表
# 生成时间: 2025-12-09 09:23:21
# 格式: 频道名称,播放URL
# 按分组排列

# 频道分类: 4K频道,央视频道,卫视频道,北京专属频道,山东专属频道,港澳频道,电影频道,儿童频道,iHOT频道,综合频道,体育频道,剧场频道,其他频道

#央视频道#,genre#
CCTV12,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000010000031107/1.m3u8
CCTV12,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000011000031107/1.m3u8
CCTV12,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226748/1.m3u8
CCTV12,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226723/1.m3u8
CCTV13,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031108/1.m3u8
CCTV13,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000011000031108/1.m3u8
CCTV13,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000011000031108/1.m3u8
CCTV13,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000011000031108/1.m3u8
CCTV13,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226717/1.m3u8
CCTV14,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000006673/1.m3u8
CCTV14,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000023358/1.m3u8
CCTV14,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000004000006673/1.m3u8
CCTV14,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000010000023358/1.m3u8
CCTV14,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000004000006673/1.m3u8
CCTV14,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000010000023358/1.m3u8
CCTV14,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000004000006673/1.m3u8
CCTV14,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000010000023358/1.m3u8
CCTV14,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226645/1.m3u8
CCTV14,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226663/1.m3u8
CCTV15,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031109/1.m3u8
CCTV15,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000011000031109/1.m3u8
CCTV15,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000011000031109/1.m3u8
CCTV16,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000008000023253/1.m3u8
CCTV16,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000008000023253/1.m3u8
CCTV16,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000008000023253/1.m3u8
CCTV16,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000008000023253/1.m3u8
CCTV16,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226825/1.m3u8
CCTV17,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226660/1.m3u8
CCTV17,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226727/1.m3u8
CETV1,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000002000002652/1.m3u8
CETV1,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000002000002652/1.m3u8
CETV1,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000002000002652/1.m3u8
CETV1,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000002000002652/1.m3u8
CETV1,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226673/1.m3u8
CETV4,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031126/1.m3u8
